NAME,TEAM,PLAYER_ID_AVG,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGA_AVG,FG_PCT_AVG,FG3M_AVG,FG3A_AVG,FG3_PCT_AVG,FTM_AVG,FTA_AVG,FT_PCT_AVG,OREB_AVG,DREB_AVG,REB_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,BLKA,PF_AVG,PFD,PTS_AVG,PLUS_MINUS_AVG,DD2,TD3,STATUS,PLAYER_ID,JERSEYNUM,POSITION,STARTER,ONCOURT,PLAYED,NOTPLAYINGREASON,NOTPLAYINGDESCRIPTION,AST,BLK,BLKR,FGA,FGM,FG_PCT,PF_OFF,FOULSDRAWN,PF,PF_TECH,FTA,FTM,FT_PCT,MINUS,MIN,PLUS,PLUS_MINUS,PTS,PTS_FASTBREAK,PTS_PAINT,PTS_2NDCHANCE,DREB,OREB,REB,STL,FG3A,FG3M,FG3_PCT,TOV,FG2A,FG2M,FG2_PCT,OPP,OWN_SCORE,OPP_SCORE,CLOCK,PERIOD,DATE_UPDATED_EST,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,DATE_MOMENT,TEAM_TS,COUNT_EASY,OWNED,UNIQUE_OWNERS,IN_PACKS,MINTED,TS_HELD,CS,LOW_ASK_EASY,4HCHANGE_EASY,24H,7D,LISTINGS,TSD,ROOKIE_PREMIERE,ROOKIE_MINT,ROOKIE_YEAR,EDITION_STATE,PLAY_ID,SET_ID,TS_LINK,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE_HARD,DIFFERENTIAL,EASY_MOMENT,HARD_MOMENT,SCORE,GAME_CLOCK,PTS_PROJ
Amir Coffey,LAC,1629599,35,14,21,0.4,20.32580952380952,2.257142857142857,4.9714285714285715,0.454,1.2,3.142857142857143,0.382,1.2571428571428571,1.4285714285714286,0.88,0.4,2.4857142857142858,2.8857142857142857,1.6,0.37142857142857144,0.4857142857142857,0.22857142857142856,0.22857142857142856,1.1714285714285715,1,6.9714285714285715,-13,0,0,ACTIVE,1629599.0,7,SG,1,-,1,nan,nan,1,0,0,3,1,0.333333333333333,0,0.0,0,0,0,0,0.0,52,18.15,42,-10,2,2,2,0,0,0,0,0,2,0,0.0,0,1,1,1.0,NYK,102,110,,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8,nan,nan,102-110,Final,2.0
Brandon Boston Jr.,LAC,1630527,31,15,16,0.484,16.453548387096774,2.4516129032258065,6.903225806451613,0.355,0.7419354838709677,2.5483870967741935,0.291,1.2903225806451613,1.5161290322580645,0.851,0.3225806451612903,2.193548387096774,2.5161290322580645,0.9032258064516129,0.7096774193548387,0.5483870967741935,0.25806451612903225,0.7096774193548387,0.8064516129032258,1,6.935483870967742,-53,0,0,ACTIVE,1630527.0,4,nan,0,-,1,nan,nan,1,1,0,9,4,0.444444444444444,0,2.0,2,0,4,3,0.75,51,24.333333333333332,51,0,13,0,4,2,3,0,3,0,6,2,0.333333333333333,0,3,2,0.666666666666666,NYK,102,110,,0.0,2022-01-24 03:02,Base Set,Common,3,Jump Shot,2021-10-26 02:30:00+00:00,LA Clippers,4000,1811.0,0.0,324.0,1865.0,0.0,2.0,78,1.3,6.85,-6.02,61.0,True,True,True,True,VISIBLE,dcabb8a0-af34-42e9-955d-10f848249829,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+dcabb8a0-af34-42e9-955d-10f848249829,Base Set,Common,3,Jump Shot,4000,78,1.3,-8,Base Set-Common-3-Jump Shot,Base Set-Common-3-Jump Shot,102-110,Final,13.0
Eric Bledsoe,LAC,202339,48,23,25,0.479,25.68513888888889,3.625,8.625,0.42,0.9583333333333334,2.9583333333333335,0.324,1.625,2.1458333333333335,0.757,0.5416666666666666,2.8333333333333335,3.375,4.166666666666667,2.2083333333333335,1.2916666666666667,0.3541666666666667,0.3541666666666667,1.5,2,9.833333333333334,-77,2,0,ACTIVE,202339.0,12,nan,0,-,1,nan,nan,6,0,0,2,0,0.0,0,2.0,0,0,4,2,0.5,35,15.2,29,-6,2,0,0,0,1,0,1,0,0,0,0.0,3,2,0,0.0,NYK,102,110,,0.0,2022-01-24 02:40,Base Set,Common,2,Block,2020-12-28 00:00:00+00:00,New Orleans Pelicans,15000,14355.0,0.0,645.0,1.0,0.0,12.0,9,0.0,0.0,12.5,1195.0,False,False,False,False,VISIBLE,8a95da78-2737-4805-b27c-45a8c84d730f,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+8a95da78-2737-4805-b27c-45a8c84d730f,Metallic Gold LE,Rare,2,Jump Shot,499,117,-6.4,-8,Base Set-Common-2-Block,Metallic Gold LE-Rare-2-Jump Shot,102-110,Final,2.0
Isaiah Hartenstein,LAC,1628392,34,18,16,0.529,15.554509803921569,3.1176470588235294,4.705882352941177,0.663,0.058823529411764705,0.08823529411764706,0.667,1.088235294117647,1.6470588235294117,0.661,1.6470588235294117,2.588235294117647,4.235294117647059,1.7647058823529411,0.9117647058823529,0.7647058823529411,1.1764705882352942,0.11764705882352941,2.4705882352941178,1,7.382352941176471,93,1,0,ACTIVE,1628392.0,55,nan,0,-,1,nan,nan,0,1,0,0,0,0.0,0,1.0,2,0,0,0,0.0,9,3.783333333333333,7,-2,0,0,0,0,1,0,1,0,0,0,0.0,0,0,0,0.0,NYK,102,110,,0.0,2022-01-24 02:59,Base Set,Common,3,Dunk,2021-10-24 02:30:00+00:00,LA Clippers,60000,33480.0,0.0,14577.0,13481.0,0.0,2.0,3,0.0,0.0,0.0,2589.0,nan,nan,nan,nan,VISIBLE,f6dbd288-d512-4d8a-a9f3-e33b2fcd4a1b,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+f6dbd288-d512-4d8a-a9f3-e33b2fcd4a1b,Base Set,Common,2,Dunk,12000,7,0.0,-8,Base Set-Common-3-Dunk,Base Set-Common-2-Dunk,102-110,Final,0.0
Ivica Zubac,LAC,1627826,44,22,22,0.5,24.693560606060604,3.840909090909091,5.704545454545454,0.673,0.0,0.0,0.0,2.25,3.022727272727273,0.744,2.7954545454545454,5.409090909090909,8.204545454545455,1.1818181818181819,1.3409090909090908,0.4772727272727273,1.0681818181818181,0.6136363636363636,2.477272727272727,2,9.931818181818182,-102,13,0,ACTIVE,1627826.0,40,C,1,-,1,nan,nan,0,3,1,8,5,0.625,0,7.0,2,0,11,7,0.636363636363636,62,29.483333333333334,61,-1,17,0,10,1,10,4,14,0,0,0,0.0,4,8,5,0.625,NYK,102,110,,0.0,2022-01-24 03:02,Base Set,Common,3,Assist,2021-11-24 03:30:00+00:00,LA Clippers,60000,29391.0,0.0,14636.0,17478.0,0.0,2.0,3,0.0,0.0,50.0,2327.0,nan,nan,nan,nan,VISIBLE,0178f1f2-5c49-426d-ab7e-d4e08493b0a4,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+0178f1f2-5c49-426d-ab7e-d4e08493b0a4,Metallic Gold LE,Rare,1,Dunk,299,410,0.0,-8,Base Set-Common-3-Assist,Metallic Gold LE-Rare-1-Dunk,102-110,Final,17.0
Jay Scrubb,LAC,1630206,14,5,9,0.357,6.785714285714286,1.0714285714285714,2.857142857142857,0.375,0.35714285714285715,1.3571428571428572,0.263,0.2857142857142857,0.5,0.571,0.14285714285714285,0.6428571428571429,0.7857142857142857,0.5,0.35714285714285715,0.21428571428571427,0.21428571428571427,0.0,0.35714285714285715,0,2.7857142857142856,4,0,0,ACTIVE,1630206.0,0,nan,0,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,NYK,102,110,,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-8,nan,nan,102-110,Final,0.0
Justise Winslow,LAC,1626159,32,16,16,0.5,11.439583333333333,1.59375,3.53125,0.451,0.15625,0.75,0.208,0.40625,0.78125,0.52,0.59375,2.53125,3.125,1.15625,0.875,0.53125,0.40625,0.375,1.09375,0,3.75,-24,0,0,ACTIVE,1626159.0,20,nan,0,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,NYK,102,110,,0.0,2022-01-24 02:36,Base Set,Common,2,Jump Shot,2021-03-01 01:00:00+00:00,Memphis Grizzlies,12000,11255.0,0.0,548.0,197.0,0.0,12.0,9,0.0,0.0,-10.0,473.0,True,False,False,False,VISIBLE,9a2815a2-1fb0-4f55-834a-cd42198d8aa6,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+9a2815a2-1fb0-4f55-834a-cd42198d8aa6,Base Set,Common,2,Jump Shot,12000,9,0.0,-8,Base Set-Common-2-Jump Shot,Base Set-Common-2-Jump Shot,102-110,Final,0.0
Luke Kennard,LAC,1628379,38,18,20,0.474,28.70263157894737,4.0,9.394736842105264,0.426,2.736842105263158,6.368421052631579,0.43,0.868421052631579,1.0,0.868,0.18421052631578946,3.1578947368421053,3.3421052631578947,2.026315789473684,0.8421052631578947,0.6578947368421053,0.13157894736842105,0.21052631578947367,1.605263157894737,0,11.605263157894736,48,0,0,ACTIVE,1628379.0,5,nan,0,-,1,nan,nan,3,0,0,10,4,0.4,0,1.0,1,0,3,2,0.666666666666666,65,28.233333333333334,61,-4,14,0,0,1,4,1,5,1,10,4,0.4,3,0,0,0.0,NYK,102,110,,0.0,2022-01-24 02:35,Base Set,Common,2,3 Pointer,2021-03-23 02:00:00+00:00,LA Clippers,12000,10863.0,0.0,739.0,399.0,0.0,12.0,16,6.67,0.0,-15.79,382.0,True,False,False,False,VISIBLE,d770ccde-be6b-4bf0-bf84-0c995c004f65,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d770ccde-be6b-4bf0-bf84-0c995c004f65,Base Set,Common,2,3 Pointer,12000,16,6.67,-8,Base Set-Common-2-3 Pointer,Base Set-Common-2-3 Pointer,102-110,Final,14.0
Marcus Morris Sr.,LAC,202694,26,11,15,0.423,30.330833333333334,5.5,13.192307692307692,0.417,1.9615384615384615,5.384615384615385,0.364,2.576923076923077,3.0,0.859,0.5769230769230769,4.576923076923077,5.153846153846154,2.1538461538461537,1.3461538461538463,0.5,0.34615384615384615,0.5769230769230769,2.3461538461538463,2,15.538461538461538,-70,2,0,ACTIVE,202694.0,8,PF,1,-,1,nan,nan,1,0,0,9,0,0.0,0,2.0,4,0,5,4,0.8,50,23.783333333333335,49,-1,4,0,0,0,3,0,3,1,4,0,0.0,0,5,0,0.0,NYK,102,110,,0.0,2022-01-24 03:01,Base Set,Common,3,Jump Shot,2021-12-14 03:30:00+00:00,LA Clippers,60000,23194.0,0.0,7465.0,30795.0,0.0,2.0,3,0.0,0.0,0.0,1582.0,nan,nan,nan,nan,VISIBLE,221fc99e-9ac6-4aec-877b-c3180bce9084,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+221fc99e-9ac6-4aec-877b-c3180bce9084,Lace 'Em Up,Legendary,1,Dunk,75,2899,0.0,-8,Base Set-Common-3-Jump Shot,Lace 'Em Up-Legendary-1-Dunk,102-110,Final,4.0
Nicolas Batum,LAC,201587,28,15,13,0.536,26.04934523809524,3.3214285714285716,6.75,0.492,2.0357142857142856,5.0,0.407,0.5357142857142857,0.7857142857142857,0.682,0.42857142857142855,4.25,4.678571428571429,1.6428571428571428,0.8928571428571429,1.0714285714285714,0.7857142857142857,0.07142857142857142,1.5,1,9.214285714285714,5,0,0,ACTIVE,201587.0,33,SF,1,-,1,nan,nan,3,0,0,7,2,0.28571428571428603,0,2.0,2,0,0,0,0.0,59,24.966666666666665,53,-6,6,0,0,0,2,0,2,2,7,2,0.28571428571428603,0,0,0,0.0,NYK,102,110,,0.0,2022-01-24 02:34,2021 NBA Playoffs,Common,2,Dunk,2021-06-13 00:30:00+00:00,LA Clippers,11500,10937.0,0.0,563.0,65.0,0.0,20.0,8,0.0,-11.11,14.29,440.0,False,False,False,False,VISIBLE,4bbf9b55-5bdc-4403-941d-5565ead15509,6783b9d8-44c5-49c7-87e0-be217af963e9,https://nbatopshot.com/listings/p2p/6783b9d8-44c5-49c7-87e0-be217af963e9+4bbf9b55-5bdc-4403-941d-5565ead15509,Base Set,Common,2,Block,12000,9,-10.0,-8,2021 NBA Playoffs-Common-2-Dunk,Base Set-Common-2-Block,102-110,Final,6.0
