NAME,TEAM,FTM_AVG,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,COUNT_EASY,LOW_ASK_EASY,4HCHANGE %,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE%
Giannis Antetokounmpo,MIL,7.69,Base Set,Common,3,Dunk,60000,4.00,0.00,MVP Moves,Rare,1,Assist,499,445.00,1.37
James Harden,BKN,7.02,Base Set,Common,2,Layup,35000,12.00,0.00,2021 All-Star Game,Rare,2,3 Pointer,2021,389.00,20.06
DeMar DeRozan,CHI,6.76,Base Set,Common,2,Dunk,15000,24.00,-4.00,Base Set,Common,1,Dunk,2986,201.00,0.00
Jimmy Butler,MIA,6.66,Base Set,Common,3,Dunk,60000,3.00,0.00,Base Set,Common,1,3 Pointer,1530,235.00,0.43
Trae Young,ATL,6.40,Base Set,Common,3,Assist,60000,3.00,0.00,Base Set,Common,1,Handles,2978,399.00,2.31
Kevin Durant,BKN,6.33,Base Set,Common,3,Jump Shot,60000,14.00,0.00,Metallic Gold LE,Rare,2,Dunk,499,3500.00,-2.75
Damian Lillard,POR,5.48,Base Set,Common,3,Layup,60000,3.00,0.00,Base Set,Common,1,Dunk,1433,440.00,10.28
Ja Morant,MEM,4.92,Base Set,Common,2,Layup,35000,17.00,0.00,Throwdowns,Rare,2,Dunk,1800,420.00,-0.47
Luka Doncic,DAL,4.88,Base Set,Common,3,Assist,60000,4.00,0.00,2021 All-Star Game,Rare,2,Dunk,2021,490.00,2.08
Bam Adebayo,MIA,4.73,Base Set,Common,2,Dunk,35000,5.00,0.00,Base Set,Common,1,Block,1431,195.00,2.09
Rudy Gobert,UTA,4.67,Base Set,Common,2,Block,40000,7.00,0.00,2021 All-Star Game,Rare,2,Dunk,2021,157.00,1.29
Kristaps Porzingis,DAL,4.55,Base Set,Common,2,Dunk,35000,5.00,0.00,Base Set,Common,1,3 Pointer,2982,80.00,0.00
De'Aaron Fox,SAC,4.40,Base Set,Common,2,Dunk,40000,10.00,0.00,Throwdowns,Rare,2,Dunk,1800,129.00,0.00
Nikola Jokic,DEN,4.30,Base Set,Common,2,Assist,35000,9.00,0.00,2021 All-Star Game,Rare,2,Dunk,2021,235.00,0.00
Harrison Barnes,SAC,4.26,Base Set,Common,3,3 Pointer,60000,3.00,0.00,Metallic Gold LE,Rare,2,3 Pointer,499,335.00,-2.62
Khris Middleton,MIL,4.22,Base Set,Common,2,Assist,40000,7.00,0.00,Base Set,Common,1,Dunk,1000,229.00,4.09
Devin Booker,PHX,4.21,Base Set,Common,3,Steal,60000,3.00,0.00,And Then There Were Four,Rare,2,3 Pointer,750,420.00,0.00
Domantas Sabonis,IND,4.09,Base Set,Common,2,Block,35000,4.00,-20.00,Base Set,Common,1,Dunk,3999,84.00,9.09
Zach LaVine,CHI,4.05,Base Set,Common,2,Dunk,35000,7.00,-12.50,2021 All-Star Game,Rare,2,Layup,2021,185.00,0.00
