name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,player_id_prev,gp_prev,w_prev,l_prev,w_pct_prev,min_prev,fgm_prev,fga_prev,fg_pct_prev,fg3m_prev,fg3a_prev,fg3_pct_prev,ftm_prev,fta_prev,ft_pct_prev,oreb_prev,dreb_prev,reb_prev,ast_prev,tov_prev,stl_prev,blk_prev,blka_prev,pf_prev,pfd_prev,pts_prev,plus_minus_prev,dd2_prev,td3_prev,game_id_prev,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,reb_proj
Anthony Davis,LAL,0022100751,203076.0,29.0,14.0,15.0,0.483,34.95137931034483,9.241379310344827,17.620689655172413,0.524,0.3448275862068966,2.0,0.172,4.206896551724138,5.724137931034483,0.735,2.689655172413793,7.0,9.689655172413794,2.7586206896551726,2.206896551724138,1.206896551724138,2.1724137931034484,0.5172413793103449,2.4482758620689653,4,23.03448275862069,-56.0,14.0,0.0,ATL,0022100751,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ACTIVE,203076.0,3,C,Starter,-,1,nan,nan,4,1,0,20,10,0.5,1,8.0,4,0,9,6,0.666666666666666,99,38.35,101,2,27,2,14,2,3,2,5,2,3,1,0.333333333333333,3,17,9,0.529411764705882,ATL,2022-01-31 03:24,Base Set,Common,3,Dunk,2021-10-20 02:00:00+00:00,Los Angeles Lakers,60000,40731.0,0.0,7410.0,13754.0,0.0,2.0,3,0.00%,0.0,0.0,3304.0,nan,nan,nan,nan,VISIBLE,6b511f19-4363-42db-9455-f739ed5d54f5,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+6b511f19-4363-42db-9455-f739ed5d54f5,0.00%,1431,524,Dunk,1,Base Set,Common,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Dunk,129-121,8.0,9.689655172413794
Austin Reaves,LAL,0022100751,1630559.0,31.0,19.0,12.0,0.613,21.121666666666666,2.032258064516129,4.354838709677419,0.467,0.7741935483870968,2.4516129032258065,0.316,1.096774193548387,1.2903225806451613,0.85,0.5806451612903226,2.096774193548387,2.6774193548387095,1.2903225806451613,0.5483870967741935,0.2903225806451613,0.16129032258064516,0.1935483870967742,1.4838709677419355,1,5.935483870967742,108.0,0.0,0.0,ATL,0022100751,away,1630559.0,1.0,0.0,1.0,0.0,27.916666666666668,6.0,12.0,0.5,2.0,6.0,0.333,2.0,3.0,0.667,2.0,6.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,9.0,0.0,0.0,0022100735,ACTIVE,1630559.0,15,nan,Bench,-,1,nan,nan,2,1,0,3,1,0.333333333333333,0,2.0,3,0,4,3,0.75,66,25.567,64,-2,6,0,0,0,2,0,2,1,3,1,0.333333333333333,0,0,0,0.0,ATL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,nan,nan,129-121,8.0,2.6774193548387095
Avery Bradley,LAL,0022100751,202340.0,42.0,22.0,20.0,0.524,23.8659126984127,2.619047619047619,6.285714285714286,0.417,1.380952380952381,3.5952380952380953,0.384,0.2857142857142857,0.3333333333333333,0.857,0.5476190476190477,1.8571428571428572,2.4047619047619047,0.8809523809523809,0.5714285714285714,0.9523809523809523,0.19047619047619047,0.38095238095238093,1.8333333333333333,0,6.904761904761905,-89.0,0.0,0.0,ATL,0022100751,away,202340.0,1.0,0.0,1.0,0.0,20.083333333333332,2.0,10.0,0.2,1.0,3.0,0.333,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,5.0,-12.0,0.0,0.0,0022100735,ACTIVE,202340.0,20,SG,Starter,-,1,nan,nan,0,0,0,5,2,0.4,0,0.0,6,0,0,0,0.0,63,22.433,57,-6,4,0,2,0,1,0,1,0,2,0,0.0,2,3,2,0.666666666666666,ATL,2022-01-31 03:10,Base Set,Common,2,Layup,2020-12-31 00:30:00+00:00,Miami Heat,12000,11134.0,0.0,575.0,291.0,0.0,12.0,17,0.00%,0.0,30.77,508.0,True,False,False,False,VISIBLE,d7e50e02-88dd-474d-9512-d6586a0cdc46,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+d7e50e02-88dd-474d-9512-d6586a0cdc46,0.00%,12000,17,Layup,2,Base Set,Common,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-2-Layup,129-121,8.0,2.4047619047619047
Carmelo Anthony,LAL,0022100751,2546.0,47.0,23.0,24.0,0.489,26.871666666666666,4.553191489361702,10.574468085106384,0.431,2.297872340425532,6.0,0.383,2.0,2.404255319148936,0.832,0.8297872340425532,3.297872340425532,4.127659574468085,1.0425531914893618,0.8723404255319149,0.7446808510638298,0.8085106382978723,0.2553191489361702,2.297872340425532,1,13.404255319148936,58.0,1.0,0.0,ATL,0022100751,away,2546.0,1.0,0.0,1.0,0.0,34.85,5.0,12.0,0.417,2.0,9.0,0.222,7.0,7.0,1.0,0.0,5.0,5.0,5.0,1.0,2.0,2.0,0.0,2.0,3.0,19.0,20.0,0.0,0.0,0022100735,ACTIVE,2546.0,7,nan,Bench,-,1,nan,nan,1,0,0,11,5,0.45454545454545503,0,2.0,2,1,0,0,0.0,56,20.651,48,-8,11,3,4,0,3,1,4,1,5,1,0.2,0,6,4,0.666666666666666,ATL,2022-01-31 03:09,Base Set,Common,2,Jump Shot,2021-02-10 03:00:00+00:00,Portland Trail Blazers,35000,32714.0,0.0,1858.0,452.0,0.0,12.0,5,0.00%,0.0,0.0,2185.0,False,False,False,False,VISIBLE,924871c0-0236-4307-8f3e-7810502bb892,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+924871c0-0236-4307-8f3e-7810502bb892,0.00%,3999,129,Jump Shot,1,Base Set,Common,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,Base Set-Common-2-Jump Shot,Base Set-Common-1-Jump Shot,129-121,8.0,4.127659574468085
Chaundee Brown Jr.,LAL,0022100751,1630602.0,2.0,0.0,2.0,0.0,10.291666666666666,0.5,3.5,0.143,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0,1.0,-1.0,0.0,0.0,ATL,0022100751,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,nan,nan,129-121,8.0,1.0
Darren Collison,LAL,0022100751,201954.0,3.0,1.0,2.0,0.333,12.388888888888888,0.6666666666666666,2.3333333333333335,0.286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.6666666666666667,0,1.3333333333333333,-14.0,0.0,0.0,ATL,0022100751,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,nan,nan,129-121,8.0,1.3333333333333333
DeAndre Jordan,LAL,0022100751,201599.0,30.0,14.0,16.0,0.467,13.203055555555554,1.9666666666666666,2.933333333333333,0.67,0.0,0.0,0.0,0.4,0.8333333333333334,0.48,1.6,3.966666666666667,5.566666666666666,0.43333333333333335,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.2,1.6333333333333333,0,4.333333333333333,-90.0,0.0,0.0,ATL,0022100751,away,201599.0,1.0,0.0,1.0,0.0,19.5,1.0,2.0,0.5,0.0,0.0,0.0,2.0,8.0,0.25,3.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,4.0,-14.0,0.0,0.0,0022100735,ACTIVE,201599.0,10,nan,Bench,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,ATL,2022-01-31 03:30,Base Set,Common,3,Dunk,2021-11-09 03:30:00+00:00,Los Angeles Lakers,60000,33940.0,0.0,12080.0,17765.0,0.0,2.0,3,0.00%,0.0,0.0,2254.0,nan,nan,nan,nan,VISIBLE,d0988cc2-a119-4e7e-be35-45c5c147cbd3,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+d0988cc2-a119-4e7e-be35-45c5c147cbd3,7.50%,1500,43,Dunk,1,Base Set,Common,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-1-Dunk,129-121,8.0,5.566666666666666
Dwight Howard,LAL,0022100751,2730.0,38.0,16.0,22.0,0.421,14.81394736842105,1.8421052631578947,3.0,0.614,0.15789473684210525,0.23684210526315788,0.667,1.236842105263158,1.9473684210526316,0.635,1.9210526315789473,3.5526315789473686,5.473684210526316,0.5526315789473685,0.8421052631578947,0.7105263157894737,0.631578947368421,0.39473684210526316,2.0,1,5.078947368421052,-11.0,2.0,0.0,ATL,0022100751,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,ACTIVE,2730.0,39,nan,Bench,-,1,nan,nan,0,0,0,2,1,0.5,0,1.0,1,0,2,0,0.0,30,9.65,20,-10,2,0,2,0,3,1,4,0,0,0,0.0,0,2,1,0.5,ATL,2022-01-31 03:08,Base Set,Common,2,Dunk,2021-03-14 22:30:00+00:00,Philadelphia 76ers,40000,36132.0,0.0,2909.0,1145.0,0.0,12.0,4,0.00%,0.0,0.0,2219.0,False,False,False,False,VISIBLE,f49dab69-5b84-42c3-9cd3-00735eaa7b67,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+f49dab69-5b84-42c3-9cd3-00735eaa7b67,0.00%,2438,139,Block,1,Base Set,Common,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-1-Block,129-121,8.0,5.473684210526316
Isaiah Thomas,LAL,0022100751,202738.0,4.0,0.0,4.0,0.0,25.2425,3.0,9.75,0.308,1.25,5.5,0.227,2.0,2.75,0.727,0.25,1.75,2.0,1.5,1.25,0.0,0.5,0.25,3.0,2,9.25,-23.0,0.0,0.0,ATL,0022100751,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,nan,nan,129-121,8.0,2.0
Jay Huff,LAL,0022100751,1630643.0,4.0,0.0,4.0,0.0,5.0625,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.75,1.0,0.25,0.25,0.25,0.25,0.0,0.25,0,0.0,15.0,0.0,0.0,ATL,0022100751,away,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612747,121,LAL,,Final,1610612737,129,ATL,4,2022-01-30 13:00:00-05:00,nan,nan,129-121,8.0,1.0
