name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,pts_proj,ast_proj
Brandon Ingram,NOP,0022100759,1627742,36,16,20,0.444,34.391157407407405,8.166666666666666,18.444444444444443,0.443,1.6111111111111112,4.666666666666667,0.345,4.5,5.5,0.818,0.7777777777777778,5.305555555555555,6.083333333333333,5.222222222222222,2.638888888888889,0.6111111111111112,0.3333333333333333,0.9722222222222222,2.0,4,22.444444444444443,2,4,0,CLE,0022100759,away,INACTIVE,1627742.0,14,nan,Bench,-,0,INACTIVE_INJURY,Right Ankle; Sprain,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,CLE,2022-02-01 01:59,Base Set,Common,2,Jump Shot,2021-01-30 00:30:00+00:00,New Orleans Pelicans,35000,32797.0,0.0,1773.0,471.0,0.0,12.0,5,0.00%,0.0,0.0,2076.0,False,False,False,False,VISIBLE,c414aab1-dcdf-4cfd-9e81-9fe4a7006ea9,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c414aab1-dcdf-4cfd-9e81-9fe4a7006ea9,1.19%,3999,85,Dunk,1,Base Set,Common,"Mon, Jan 31",INJ - exp. back Feb 1,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Jump Shot,Base Set-Common-1-Dunk,93-90,3,22.444444444444443,5.222222222222222
Devonte' Graham,NOP,0022100759,1628984,45,17,28,0.378,31.348703703703702,4.6,12.488888888888889,0.368,3.0,8.444444444444445,0.355,1.8222222222222222,2.1555555555555554,0.845,0.4444444444444444,2.111111111111111,2.5555555555555554,4.488888888888889,1.6,1.0,0.17777777777777778,0.35555555555555557,1.4222222222222223,1,14.022222222222222,15,0,0,CLE,0022100759,away,ACTIVE,1628984.0,4,PG,Starter,-,1,nan,nan,4,0,1,15,6,0.4,0,6.0,0,0,6,5,0.833333333333334,64,29.483333333333334,53,-11,20,0,4,0,1,1,2,0,11,3,0.272727272727273,1,4,3,0.75,CLE,2022-02-01 01:55,Base Set,Common,2,Jump Shot,2021-01-23 00:00:00+00:00,Charlotte Hornets,40000,35560.0,0.0,2704.0,1790.0,0.0,12.0,8,-11.11%,0.0,-11.11,1547.0,False,False,False,False,VISIBLE,161557b1-d8a1-424c-a7c1-5862463ff41f,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+161557b1-d8a1-424c-a7c1-5862463ff41f,0.00%,2799,63,3 Pointer,1,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Jump Shot,Base Set-Common-1-3 Pointer,93-90,3,14.022222222222222,4.488888888888889
Didi Louzada,NOP,0022100759,1629712,2,0,2,0.0,3.466666666666667,0.0,1.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,-4,0,0,CLE,0022100759,away,INACTIVE,1629712.0,0,nan,Bench,-,0,INACTIVE_HEALTH_AND_SAFETY_PROTOCOLS,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,CLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,nan,nan,93-90,3,0.0,0.5
Garrett Temple,NOP,0022100759,202066,47,18,29,0.383,20.09840425531915,2.106382978723404,5.446808510638298,0.387,1.0851063829787233,3.3617021276595747,0.323,0.5531914893617021,0.7872340425531915,0.703,0.574468085106383,2.1914893617021276,2.765957446808511,1.3404255319148937,0.8085106382978723,0.8297872340425532,0.3829787234042553,0.2553191489361702,1.574468085106383,0,5.851063829787234,-327,0,0,CLE,0022100759,away,ACTIVE,202066.0,41,nan,Bench,-,1,nan,nan,1,1,1,3,1,0.333333333333333,0,1.0,1,0,0,0,0.0,21,12.366666666666667,17,-4,2,2,2,0,1,0,1,0,0,0,0.0,0,3,1,0.333333333333333,CLE,2022-02-01 01:31,Base Set,Common,2,Jump Shot,2021-01-10 21:00:00+00:00,Chicago Bulls,12000,11228.0,0.0,555.0,220.0,0.0,12.0,24,0.00%,0.0,33.33,298.0,True,False,False,False,VISIBLE,3895fb8a-5441-4c22-8479-4ec80fa80d98,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3895fb8a-5441-4c22-8479-4ec80fa80d98,0.00%,12000,24,Jump Shot,2,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-2-Jump Shot,Base Set-Common-2-Jump Shot,93-90,3,5.851063829787234,1.3404255319148937
Gary Clark,NOP,0022100759,1629109,17,8,9,0.471,9.940980392156863,0.9411764705882353,2.4705882352941178,0.381,0.8235294117647058,2.1176470588235294,0.389,0.11764705882352941,0.23529411764705882,0.5,0.5294117647058824,1.588235294117647,2.1176470588235294,0.35294117647058826,0.29411764705882354,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.4117647058823529,0,2.823529411764706,-62,0,0,CLE,0022100759,away,ACTIVE,1629109.0,12,nan,Bench,-,1,nan,nan,0,1,1,3,1,0.333333333333333,0,0.0,2,0,0,0,0.0,24,13.034666666666666,21,-3,3,0,0,0,3,0,3,2,2,1,0.5,0,1,0,0.0,CLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,nan,nan,93-90,3,2.823529411764706,0.35294117647058826
Herbert Jones,NOP,0022100759,1630529,46,18,28,0.391,29.780108695652174,3.652173913043478,7.391304347826087,0.494,0.6739130434782609,1.8478260869565217,0.365,1.4782608695652173,1.8043478260869565,0.819,1.2608695652173914,2.5652173913043477,3.8260869565217392,2.0217391304347827,1.0217391304347827,1.5,0.9347826086956522,0.6956521739130435,3.0434782608695654,1,9.456521739130435,-1,0,0,CLE,0022100759,away,ACTIVE,1630529.0,5,SF,Starter,-,1,nan,nan,4,1,2,7,0,0.0,1,2.0,1,0,3,3,1.0,58,31.251166666666666,58,0,3,0,0,2,2,0,2,1,3,0,0.0,2,4,0,0.0,CLE,2022-02-01 01:56,Base Set,Common,3,Dunk,2021-12-09 01:00:00+00:00,New Orleans Pelicans,12000,7922.0,0.0,378.0,3702.0,0.0,2.0,39,2.63%,-2.5,21.88,356.0,True,nan,True,True,VISIBLE,d12ff74e-0b79-40d2-a054-41ea6a4adc94,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+d12ff74e-0b79-40d2-a054-41ea6a4adc94,2.63%,12000,39,Dunk,3,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,93-90,3,9.456521739130435,2.0217391304347827
Jared Harper,NOP,0022100759,1629607,2,1,1,0.5,5.241666666666666,1.5,3.5,0.429,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.5,0.5,0.0,0.5,0.0,1.0,0,3.5,0,0,0,CLE,0022100759,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,nan,nan,93-90,3,3.5,1.5
Jaxson Hayes,NOP,0022100759,1629637,37,11,26,0.297,14.432162162162163,2.7027027027027026,4.5675675675675675,0.592,0.13513513513513514,0.4594594594594595,0.294,1.8108108108108107,2.4054054054054053,0.753,1.3513513513513513,2.1621621621621623,3.5135135135135136,0.3783783783783784,0.7567567567567568,0.35135135135135137,0.6486486486486487,0.1891891891891892,2.108108108108108,2,7.351351351351352,-49,0,0,CLE,0022100759,away,ACTIVE,1629637.0,10,PF,Starter,-,1,nan,nan,0,3,0,10,9,0.9,1,0.0,5,0,0,0,0.0,63,31.1485,65,2,19,2,12,2,6,1,7,0,2,1,0.5,1,8,8,1.0,CLE,2022-02-01 01:54,Base Set,Common,3,Dunk,2021-10-30 23:00:00+00:00,New Orleans Pelicans,60000,35771.0,0.0,11601.0,16854.0,0.0,2.0,3,0.00%,0.0,0.0,2274.0,nan,nan,nan,nan,VISIBLE,68fdb242-25f6-4721-a5f7-f6dec0fd45fc,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+68fdb242-25f6-4721-a5f7-f6dec0fd45fc,0.00%,12000,10,Dunk,2,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-2-Dunk,93-90,3,7.351351351351352,0.3783783783783784
Jonas Valanciunas,NOP,0022100759,202685,43,17,26,0.395,31.602558139534885,7.046511627906977,13.395348837209303,0.526,1.0,2.395348837209302,0.417,3.255813953488372,3.9767441860465116,0.819,3.395348837209302,8.604651162790697,12.0,2.488372093023256,2.441860465116279,0.5116279069767442,0.8837209302325582,0.6511627906976745,3.186046511627907,4,18.348837209302324,-13,32,0,CLE,0022100759,away,ACTIVE,202685.0,17,C,Starter,-,1,nan,nan,4,2,0,13,7,0.538461538461538,1,2.0,3,0,2,2,1.0,67,31.465833333333332,64,-3,16,0,14,8,3,6,9,0,3,0,0.0,3,10,7,0.7,CLE,2022-02-01 01:53,Base Set,Common,3,Assist,2021-10-26 00:00:00+00:00,New Orleans Pelicans,60000,37170.0,0.0,10952.0,14925.0,0.0,2.0,3,0.00%,0.0,0.0,1140.0,nan,nan,nan,nan,VISIBLE,9efea894-ad6d-4c87-ad58-29dc1d66faa1,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+9efea894-ad6d-4c87-ad58-29dc1d66faa1,0.00%,2981,84,Block,1,Base Set,Common,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,Base Set-Common-3-Assist,Base Set-Common-1-Block,93-90,3,18.348837209302324,2.488372093023256
Jose Alvarado,NOP,0022100759,1630631,22,7,15,0.318,11.167045454545455,1.5454545454545454,3.909090909090909,0.395,0.5,1.5909090909090908,0.314,0.5454545454545454,0.8636363636363636,0.632,0.36363636363636365,0.8181818181818182,1.1818181818181819,1.6818181818181819,0.18181818181818182,1.1818181818181819,0.13636363636363635,0.3181818181818182,1.2727272727272727,0,4.136363636363637,27,0,0,CLE,0022100759,away,ACTIVE,1630631.0,15,nan,Bench,-,1,nan,nan,3,0,0,4,1,0.25,0,1.0,0,1,0,0,0.0,29,18.516666666666666,37,8,2,0,2,2,4,1,5,0,1,0,0.0,0,3,1,0.333333333333333,CLE,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612740,90,NOP,,Final,1610612739,93,CLE,4,2022-01-31 19:00:00-05:00,nan,nan,93-90,3,4.136363636363637,1.6818181818181819
