name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,fgm_proj,ftm_proj,fgm+ftm_proj,_proj,fgm+ftm
Admiral Schofield,ORL,0022100773,1629678,18,5,13,0.278,12.026203703703704,1.3333333333333333,2.6666666666666665,0.5,0.5,1.5,0.333,0.1111111111111111,0.16666666666666666,0.667,0.3333333333333333,2.0555555555555554,2.388888888888889,0.7222222222222222,0.6111111111111112,0.1111111111111111,0.16666666666666666,0.1111111111111111,1.5555555555555556,0,3.2777777777777777,-13,0,0,IND,0022100773,away,ACTIVE,1629678.0,25,nan,Bench,-,1,nan,nan,0,0,0,0,0,0.0,0,0.0,1,0,0,0,0.0,3,1.65,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,IND,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,118-119,-1,0,0,0,0,0
Aleem Ford,ORL,0022100773,1630758,5,2,3,0.4,14.706,1.2,4.0,0.3,0.4,3.0,0.133,0.0,0.0,0.0,0.4,2.6,3.0,0.4,0.8,0.2,0.0,0.2,1.4,0,2.8,-35,0,0,IND,0022100773,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,118-119,-1,0,0,0,0,0
BJ Johnson,ORL,0022100773,1629168,4,2,2,0.5,16.14875,2.75,6.25,0.44,1.0,2.5,0.4,0.0,0.0,0.0,1.5,2.25,3.75,0.0,0.0,0.0,0.25,0.5,1.0,0,6.5,-12,0,0,IND,0022100773,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,118-119,-1,0,0,0,0,0
Chuma Okeke,ORL,0022100773,1629643,42,11,31,0.262,23.609325396825398,2.9523809523809526,7.666666666666667,0.385,1.3333333333333333,4.523809523809524,0.295,0.7857142857142857,0.9285714285714286,0.846,0.6428571428571429,3.9047619047619047,4.5476190476190474,1.5,0.8095238095238095,1.380952380952381,0.5476190476190477,0.19047619047619047,1.4047619047619047,1,8.023809523809524,-177,1,0,IND,0022100773,away,ACTIVE,1629643.0,3,nan,Bench,-,1,nan,nan,2,0,0,6,3,0.5,0,2.0,2,0,2,1,0.5,59,24.766666666666666,62,3,8,0,4,0,4,0,4,0,3,1,0.333333333333333,0,3,2,0.666666666666666,IND,2022-02-03 03:36,Base Set,Common,2,Dunk,2021-04-26 23:00:00+00:00,Orlando Magic,40000,35644.0,0.0,2772.0,1624.0,0.0,12.0,6,0.00%,-14.29,20.0,1099.0,False,False,True,True,VISIBLE,837ef989-3597-4dd3-a649-af9a9d9e8bf8,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+837ef989-3597-4dd3-a649-af9a9d9e8bf8,-3.77%,4000,51,Jump Shot,2,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-Jump Shot,118-119,-1,3,1,4,0,4
Cole Anthony,ORL,0022100773,1630175,39,10,29,0.256,33.27153846153846,6.0,15.538461538461538,0.386,2.1794871794871793,6.82051282051282,0.32,3.6153846153846154,4.282051282051282,0.844,0.6410256410256411,5.3076923076923075,5.948717948717949,6.128205128205129,2.7435897435897436,0.8717948717948718,0.28205128205128205,0.7692307692307693,2.6666666666666665,3,17.794871794871796,-98,7,0,IND,0022100773,away,ACTIVE,1630175.0,50,PG,Starter,-,1,nan,nan,8,0,0,15,2,0.133333333333333,0,6.0,3,0,10,9,0.9,85,35.55,90,5,15,2,0,0,5,1,6,1,7,2,0.28571428571428603,3,8,0,0.0,IND,2022-02-03 03:51,Base Set,Common,3,Layup,2021-10-25 23:30:00+00:00,Orlando Magic,60000,38188.0,0.0,11969.0,13226.0,0.0,2.0,3,0.00%,0.0,0.0,2190.0,nan,nan,nan,nan,VISIBLE,1a47fce8-e1c2-490a-8abb-15528ebb9f95,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+1a47fce8-e1c2-490a-8abb-15528ebb9f95,-9.55%,4000,180,Jump Shot,2,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Layup,Base Set-Common-2-Jump Shot,118-119,-1,2,9,11,0,11
Franz Wagner,ORL,0022100773,1630532,53,12,41,0.226,32.296006289308174,6.056603773584905,12.943396226415095,0.468,1.2075471698113207,3.452830188679245,0.35,2.5283018867924527,2.981132075471698,0.848,1.0754716981132075,3.490566037735849,4.566037735849057,2.9245283018867925,1.6603773584905661,0.9245283018867925,0.49056603773584906,1.2075471698113207,2.188679245283019,2,15.849056603773585,-214,2,0,IND,0022100773,away,ACTIVE,1630532.0,22,PF,Starter,-,1,nan,nan,2,0,0,13,7,0.538461538461538,0,2.0,2,0,2,2,1.0,81,30.2,70,-11,17,3,12,0,3,1,4,0,3,1,0.333333333333333,3,10,6,0.6,IND,2022-02-03 03:52,Base Set,Common,3,Dunk,2021-10-21 00:30:00+00:00,Orlando Magic,4000,1944.0,0.0,408.0,1648.0,0.0,2.0,285,-5.00%,3.26,-1.72,106.0,True,True,True,True,VISIBLE,ad1b33d7-8d29-4695-9e38-c11b54a3bea9,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+ad1b33d7-8d29-4695-9e38-c11b54a3bea9,-5.00%,4000,285,Dunk,3,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,118-119,-1,7,2,9,0,9
Freddie Gillespie,ORL,0022100773,1630273,9,1,8,0.111,13.187222222222223,1.0,2.4444444444444446,0.409,0.0,0.1111111111111111,0.0,0.3333333333333333,0.7777777777777778,0.429,1.4444444444444444,2.5555555555555554,4.0,0.5555555555555556,0.5555555555555556,0.3333333333333333,1.0,0.5555555555555556,2.0,1,2.3333333333333335,-29,0,0,IND,0022100773,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,118-119,-1,0,0,0,0,0
Gary Harris,ORL,0022100773,203914,45,9,36,0.2,29.64377777777778,4.288888888888889,9.644444444444444,0.445,1.8666666666666667,4.888888888888889,0.382,1.3777777777777778,1.6222222222222222,0.849,0.6666666666666666,1.5777777777777777,2.2444444444444445,1.8666666666666667,1.0888888888888888,0.8444444444444444,0.17777777777777778,0.5555555555555556,1.9333333333333333,1,11.822222222222223,-208,0,0,IND,0022100773,away,ACTIVE,203914.0,14,nan,Bench,-,1,nan,nan,5,0,0,15,6,0.4,0,2.0,2,0,4,4,1.0,79,32.28333333333333,84,5,22,3,0,0,2,1,3,2,11,6,0.545454545454545,0,4,0,0.0,IND,2022-02-03 03:53,Base Set,Common,3,Layup,2021-12-26 20:30:00+00:00,Orlando Magic,60000,20799.0,0.0,10262.0,32493.0,0.0,2.0,3,0.00%,0.0,0.0,1125.0,nan,nan,nan,nan,VISIBLE,49c48bbf-e503-46ab-838f-90671882a3e0,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+49c48bbf-e503-46ab-838f-90671882a3e0,-8.55%,1000,107,Dunk,1,Base Set,Common,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,Base Set-Common-3-Layup,Base Set-Common-1-Dunk,118-119,-1,6,4,10,0,10
Hassani Gravett,ORL,0022100773,1629755,8,2,6,0.25,21.386875,2.25,4.75,0.474,1.375,3.25,0.423,0.375,0.5,0.75,0.125,2.5,2.625,2.5,1.125,0.625,0.125,0.375,1.625,1,6.25,-2,0,0,IND,0022100773,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,118-119,-1,0,0,0,0,0
Ignas Brazdeikis,ORL,0022100773,1629649,22,3,19,0.136,8.923636363636364,0.9090909090909091,2.590909090909091,0.351,0.36363636363636365,1.2727272727272727,0.286,0.36363636363636365,0.45454545454545453,0.8,0.36363636363636365,1.0,1.3636363636363635,0.6818181818181818,0.2727272727272727,0.22727272727272727,0.045454545454545456,0.18181818181818182,1.0,0,2.5454545454545454,-22,0,0,IND,0022100773,away,ACTIVE,1629649.0,17,nan,Bench,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,IND,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612753,119,ORL,,Final,1610612754,118,IND,4,2022-02-02 19:00:00-05:00,nan,nan,118-119,-1,0,0,0,0,0
