name,team,game_id,player_id_avg,gp,w,l,w_pct,min_avg,fgm_avg,fga_avg,fg_pct_avg,fg3m_avg,fg3a_avg,fg3_pct_avg,ftm_avg,fta_avg,ft_pct_avg,oreb_avg,dreb_avg,reb_avg,ast_avg,tov_avg,stl_avg,blk_avg,blka,pf_avg,pfd,pts_avg,plus_minus_avg,dd2,td3,opp_avg,game_id_avg,awayorhome,status,player_id,jersey_num,position,starter,on_court,played,notplayingreason,notplayingdescription,ast,blk,blkr,fga,fgm,fg_pct,pfoff,foulsdrawn,pf,pftech,fta,ftm,ft_pct,minus,min,plus,plus_minus,pts,pts_fastbreak,pts_paint,pts_2nd_chance,dreb,oreb,reb,stl,fg3a,fg3m,fg3_pct,tov,fg2a,fg2m,fg2_pct,opp,date_updated_est,set_easy,tier_easy,series_easy,play_easy,date_moment,team_TS,count_easy,owned,unique_owners,in_packs,minted,ts_held,cs,low_ask_easy,4hchange_easy,24h,7d,listings,tsd,rookie_premiere,rookie_mint,rookie_year,edition_state,play_id,set_id,ts_link,4hchange_hard,count_hard,low_ask_hard,play_hard,series_hard,set_hard,tier_hard,injury_updated,injury_status,away_id,away_score,away_team,game_clock,game_status,home_id,home_score,home_team,period,start_time,easy_moment,hard_moment,score,differential,ast_proj
Bam Adebayo,MIA,0022100521,1628389,10,6,4,0.6,34.080666666666666,6.5,12.1,0.537,0.0,0.2,0.0,4.1,5.3,0.774,2.7,7.0,9.7,4.2,3.0,2.3,1.1,0.6,3.3,5,17.1,46,5,0,SAS,0022100521,away,ACTIVE,1628389.0,13,C,Starter,-,1,nan,nan,3,0,1,13,7,0.538461538461538,0,5.0,4,0,6,4,0.666666666666666,54,30.55,80,26,18,2,14,4,9,2,11,4,1,0,0.0,1,12,7,0.583333333333333,SAS,2022-02-04 00:36,Base Set,Common,2,Dunk,2021-03-21 17:00:00+00:00,Miami Heat,40000,35603.0,0.0,2790.0,1694.0,0.0,12.0,4,-20.00%,-20.0,-20.0,1338.0,False,False,False,False,VISIBLE,29c01f8e-3f94-4579-a715-68e5e6ced6bd,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+29c01f8e-3f94-4579-a715-68e5e6ced6bd,-0.34%,1431,297,Block,1,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-1-Block,95-112,17,3.0
Caleb Martin,MIA,0022100521,1628997,13,8,5,0.615,24.039358974358972,4.076923076923077,8.0,0.51,1.0,2.5384615384615383,0.394,1.4615384615384615,1.6923076923076923,0.864,1.6923076923076923,2.923076923076923,4.615384615384615,0.8461538461538461,1.0769230769230769,1.0769230769230769,0.3076923076923077,0.38461538461538464,1.6923076923076923,1,10.615384615384615,-55,1,0,SAS,0022100521,away,INACTIVE,1628997.0,16,nan,Bench,INJ - exp. back Feb 5,0,INACTIVE_INJURY,Left Achilles; Soreness,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,2022-02-04 00:36,Base Set,Common,2,Jump Shot,2021-02-09 00:00:00+00:00,Charlotte Hornets,40000,35648.0,0.0,2761.0,1650.0,0.0,12.0,8,-11.11%,-11.11,14.29,797.0,False,False,False,False,VISIBLE,a998f824-e42c-4f77-aa7c-9b79a9230aff,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a998f824-e42c-4f77-aa7c-9b79a9230aff,-7.14%,12000,13,Dunk,2,Base Set,Common,"Thu, Feb 3",INJ - exp. back Feb 5,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-Jump Shot,Base Set-Common-2-Dunk,95-112,17,0.0
Chris Silva,MIA,0022100521,1629735,5,4,1,0.8,7.9833333333333325,0.2,0.6,0.333,0.0,0.0,0.0,0.6,1.0,0.6,1.0,2.2,3.2,1.0,0.8,0.0,0.2,0.2,2.0,0,1.0,-8,0,0,SAS,0022100521,away,ACTIVE,1629735.0,30,nan,Bench,-,1,nan,nan,1,0,0,1,0,0.0,0,1.0,3,0,0,0,0.0,16,6.333333333333333,8,-8,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,SAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,nan,nan,95-112,17,1.0
Dewayne Dedmon,MIA,0022100521,203473,13,8,5,0.615,14.687820512820512,2.6153846153846154,4.230769230769231,0.618,0.07692307692307693,0.38461538461538464,0.2,1.0769230769230769,1.2307692307692308,0.875,1.7692307692307692,4.461538461538462,6.230769230769231,0.5384615384615384,1.3846153846153846,0.46153846153846156,0.6923076923076923,0.3076923076923077,2.769230769230769,1,6.384615384615385,-8,0,0,SAS,0022100521,away,ACTIVE,203473.0,21,nan,Bench,-,1,nan,nan,2,2,1,6,3,0.5,0,1.0,5,1,2,2,1.0,27,14.883333333333333,33,6,9,0,4,2,2,1,3,0,1,1,1.0,1,5,2,0.4,SAS,2022-02-04 00:29,Base Set,Common,3,Dunk,2021-12-19 23:00:00+00:00,Miami Heat,12000,8063.0,0.0,1237.0,2714.0,0.0,2.0,10,11.11%,0.0,-9.09,231.0,True,nan,nan,nan,VISIBLE,cc617c04-0c80-433f-8b81-88712f7a70fd,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+cc617c04-0c80-433f-8b81-88712f7a70fd,11.11%,12000,10,Dunk,3,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,95-112,17,2.0
Duncan Robinson,MIA,0022100521,1629130,14,9,5,0.643,25.440595238095238,4.071428571428571,9.142857142857142,0.445,3.2142857142857144,8.142857142857142,0.395,1.0,1.1428571428571428,0.875,0.35714285714285715,1.9285714285714286,2.2857142857142856,1.4285714285714286,1.0714285714285714,0.5714285714285714,0.14285714285714285,0.21428571428571427,2.5714285714285716,1,12.357142857142858,30,0,0,SAS,0022100521,away,ACTIVE,1629130.0,55,SG,Starter,-,1,nan,nan,3,0,0,10,5,0.5,0,1.0,3,0,3,3,1.0,67,34.35066666666667,77,10,17,0,2,0,3,0,3,1,8,4,0.5,1,2,1,0.5,SAS,2022-02-04 00:38,Base Set,Common,2,3 Pointer,2021-01-19 01:00:00+00:00,Miami Heat,40000,35362.0,0.0,2884.0,1834.0,0.0,12.0,5,0.00%,-16.67,0.0,1412.0,False,False,False,False,VISIBLE,3a89de62-baf1-41a2-aa76-d060de478f2b,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+3a89de62-baf1-41a2-aa76-d060de478f2b,0.00%,1959,79,3 Pointer,1,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-3 Pointer,Base Set-Common-1-3 Pointer,95-112,17,3.0
Gabe Vincent,MIA,0022100521,1629216,12,8,4,0.667,29.128194444444446,4.0,9.583333333333334,0.417,2.6666666666666665,6.416666666666667,0.416,0.5,0.5833333333333334,0.857,0.25,1.5833333333333333,1.8333333333333333,4.166666666666667,2.0,1.5,0.3333333333333333,0.25,3.25,1,11.166666666666666,-15,0,0,SAS,0022100521,away,ACTIVE,1629216.0,2,nan,Bench,-,1,nan,nan,3,1,0,7,3,0.428571428571429,0,1.0,3,0,0,0,0.0,52,24.8005,59,7,8,0,2,0,3,0,3,3,6,2,0.333333333333333,2,1,1,1.0,SAS,2022-02-04 00:30,Base Set,Common,3,Dunk,2021-11-19 00:30:00+00:00,Miami Heat,12000,8876.0,0.0,2028.0,1104.0,0.0,2.0,18,0.00%,-5.26,5.88,184.0,True,nan,nan,nan,VISIBLE,1e69a79a-bc45-4648-8ff0-b54092e784aa,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+1e69a79a-bc45-4648-8ff0-b54092e784aa,0.00%,12000,18,Dunk,3,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-3-Dunk,Base Set-Common-3-Dunk,95-112,17,3.0
Haywood Highsmith,MIA,0022100521,1629312,1,1,0,1.0,2.5383333333333336,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-4,0,0,SAS,0022100521,away,nan,nan,nan,nan,None,-,nan,nan,nan,0,0,0,0,0,nan,0,nan,0,0,0,0,nan,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,nan,nan,95-112,17,0.0
Jimmy Butler,MIA,0022100521,202710,11,7,4,0.636,34.445,5.7272727272727275,13.0,0.441,0.2727272727272727,1.9090909090909092,0.143,6.909090909090909,7.454545454545454,0.927,1.9090909090909092,5.2727272727272725,7.181818181818182,8.272727272727273,2.1818181818181817,1.7272727272727273,0.5454545454545454,0.8181818181818182,1.6363636363636365,5,18.636363636363637,69,5,3,SAS,0022100521,away,ACTIVE,202710.0,22,SF,Starter,-,1,nan,nan,3,0,0,14,7,0.5,0,4.0,3,1,3,3,1.0,50,25.116666666666667,56,6,17,2,12,3,4,3,7,0,1,0,0.0,0,13,7,0.538461538461538,SAS,2022-02-04 00:37,Base Set,Common,2,Dunk,2021-03-12 01:00:00+00:00,Miami Heat,35000,32801.0,0.0,1849.0,377.0,0.0,12.0,5,0.00%,0.0,25.0,1981.0,False,False,False,False,VISIBLE,c9bc65bc-c868-46b2-aabc-ee88989b8fb1,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c9bc65bc-c868-46b2-aabc-ee88989b8fb1,5.35%,1530,315,3 Pointer,1,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-1-3 Pointer,95-112,17,3.0
Kyle Guy,MIA,0022100521,1629657,8,6,2,0.75,9.511666666666667,1.0,3.125,0.32,0.625,2.0,0.313,0.125,0.25,0.5,0.125,0.5,0.625,0.625,0.875,0.125,0.0,0.375,0.375,0,2.75,-8,0,0,SAS,0022100521,away,ACTIVE,1629657.0,5,nan,Bench,-,1,nan,nan,0,0,1,3,1,0.333333333333333,0,0.0,1,0,0,0,0.0,17,6.966666666666667,10,-7,3,0,0,0,1,1,2,0,2,1,0.5,0,1,0,0.0,SAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,nan,nan,95-112,17,0.0
Kyle Lowry,MIA,0022100521,200768,5,4,1,0.8,31.726333333333333,2.6,8.0,0.325,1.6,4.2,0.381,2.2,2.4,0.917,0.4,3.0,3.4,7.4,2.6,1.2,0.4,0.6,3.4,2,9.0,48,1,0,SAS,0022100521,away,ACTIVE,200768.0,7,PG,Starter,-,1,nan,nan,4,0,0,1,0,0.0,0,3.0,2,1,2,2,1.0,54,25.483333333333334,58,4,2,0,0,0,3,0,3,1,0,0,0.0,6,1,0,0.0,SAS,2022-02-04 00:38,Base Set,Common,2,Layup,2021-02-06 00:30:00+00:00,Toronto Raptors,35000,32924.0,0.0,1643.0,463.0,0.0,12.0,9,0.00%,12.5,28.57,1239.0,False,False,False,False,VISIBLE,04c10ac4-764a-4b42-8b87-a3b44cb11a94,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+04c10ac4-764a-4b42-8b87-a3b44cb11a94,0.00%,1532,250,3 Pointer,1,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-1-3 Pointer,95-112,17,4.0
Max Strus,MIA,0022100521,1629622,14,9,5,0.643,25.713690476190475,3.7857142857142856,9.357142857142858,0.405,3.0,7.428571428571429,0.404,0.42857142857142855,0.5,0.857,0.6428571428571429,2.5,3.142857142857143,1.4285714285714286,0.9285714285714286,0.14285714285714285,0.42857142857142855,0.42857142857142855,2.142857142857143,1,11.0,31,0,0,SAS,0022100521,away,ACTIVE,1629622.0,31,nan,Bench,-,1,nan,nan,2,0,0,3,2,0.666666666666666,0,0.0,1,0,0,0,0.0,31,16.033333333333335,39,8,6,0,0,0,0,0,0,0,3,2,0.666666666666666,1,0,0,0.0,SAS,2022-02-04 00:37,Base Set,Common,2,Dunk,2021-02-12 00:30:00+00:00,Miami Heat,12000,11217.0,0.0,554.0,231.0,0.0,12.0,15,0.00%,0.0,7.14,423.0,True,False,False,False,VISIBLE,e16581a0-5030-4291-a7fd-145f9b09f625,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+e16581a0-5030-4291-a7fd-145f9b09f625,0.00%,12000,15,Dunk,2,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,95-112,17,2.0
Omer Yurtseven,MIA,0022100521,1630209,7,5,2,0.714,17.556428571428572,4.0,5.857142857142857,0.683,0.0,0.0,0.0,1.2857142857142858,1.8571428571428572,0.692,1.8571428571428572,5.285714285714286,7.142857142857143,2.7142857142857144,1.1428571428571428,0.2857142857142857,0.2857142857142857,0.14285714285714285,2.5714285714285716,1,9.285714285714286,30,3,0,SAS,0022100521,away,INACTIVE,1630209.0,77,nan,Bench,INJ - exp. back Feb 7,0,INACTIVE_HEALTH_AND_SAFETY_PROTOCOLS,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,SAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Sun, Jan 30",INJ - exp. back Feb 7,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,nan,nan,95-112,17,0.0
P.J. Tucker,MIA,0022100521,200782,13,9,4,0.692,28.61923076923077,3.8461538461538463,7.615384615384615,0.505,1.9230769230769231,3.923076923076923,0.49,0.8461538461538461,1.0769230769230769,0.786,0.8461538461538461,4.0,4.846153846153846,2.0,1.0769230769230769,1.3076923076923077,0.0,0.23076923076923078,2.3846153846153846,1,10.461538461538462,125,0,0,SAS,0022100521,away,ACTIVE,200782.0,17,PF,Starter,-,1,nan,nan,1,0,0,5,3,0.6,0,1.0,1,0,0,0,0.0,45,23.6155,58,13,8,0,2,2,5,0,5,2,3,2,0.666666666666666,0,2,1,0.5,SAS,2022-02-04 00:11,Base Set,Common,2,3 Pointer,2021-01-23 00:00:00+00:00,Houston Rockets,35000,31561.0,0.0,2829.0,699.0,0.0,12.0,5,0.00%,0.0,25.0,2337.0,False,False,False,False,VISIBLE,94fb4073-e00f-4334-b15b-6e659f294c98,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+94fb4073-e00f-4334-b15b-6e659f294c98,-2.50%,3999,39,Layup,1,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-3 Pointer,Base Set-Common-1-Layup,95-112,17,1.0
Tyler Herro,MIA,0022100521,1629639,11,7,4,0.636,33.54287878787879,7.181818181818182,16.272727272727273,0.441,2.0,6.0,0.333,3.3636363636363638,3.727272727272727,0.902,0.36363636363636365,4.0,4.363636363636363,4.363636363636363,2.6363636363636362,0.8181818181818182,0.2727272727272727,1.0,2.0,2,19.727272727272727,39,1,0,SAS,0022100521,away,ACTIVE,1629639.0,14,nan,Bench,-,1,nan,nan,5,0,2,20,11,0.55,0,2.0,1,0,2,2,1.0,62,31.866666666666667,82,20,24,2,18,0,5,0,5,2,5,0,0.0,1,15,11,0.733333333333333,SAS,2022-02-04 00:11,Base Set,Common,2,Layup,2021-02-04 01:00:00+00:00,Miami Heat,40000,35632.0,0.0,2621.0,1804.0,0.0,12.0,5,0.00%,0.0,25.0,2417.0,False,False,False,False,VISIBLE,03e7b2dd-b544-48c2-9ee3-38c76d5a23e3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+03e7b2dd-b544-48c2-9ee3-38c76d5a23e3,0.00%,1530,334,3 Pointer,1,Base Set,Common,nan,nan,1610612748,112,MIA,,Final,1610612759,95,SAS,4,2022-02-03 19:00:00-05:00,Base Set-Common-2-Layup,Base Set-Common-1-3 Pointer,95-112,17,5.0
