NAME,TEAM,PLAYER_ID_AVG,GP,W,L,W_PCT,MIN_AVG,FGM_AVG,FGA_AVG,FG_PCT_AVG,FG3M_AVG,FG3A_AVG,FG3_PCT_AVG,FTM_AVG,FTA_AVG,FT_PCT_AVG,OREB_AVG,DREB_AVG,REB_AVG,AST_AVG,TOV_AVG,STL_AVG,BLK_AVG,BLKA,PF_AVG,PFD,PTS_AVG,PLUS_MINUS_AVG,DD2,TD3,STATUS,PLAYER_ID,JERSEYNUM,POSITION,STARTER,ONCOURT,PLAYED,NOTPLAYINGREASON,NOTPLAYINGDESCRIPTION,AST,BLK,BLKR,FGA,FGM,FG_PCT,PF_OFF,FOULSDRAWN,PF,PF_TECH,FTA,FTM,FT_PCT,MINUS,MIN,PLUS,PLUS_MINUS,PTS,PTS_FASTBREAK,PTS_PAINT,PTS_2NDCHANCE,DREB,OREB,REB,STL,FG3A,FG3M,FG3_PCT,TOV,FG2A,FG2M,FG2_PCT,OPP,OWN_SCORE,OPP_SCORE,CLOCK,PERIOD,DATE_UPDATED_EST,SET_EASY,TIER_EASY,SERIES_EASY,PLAY_EASY,DATE_MOMENT,TEAM_TS,COUNT_EASY,OWNED,UNIQUE_OWNERS,IN_PACKS,MINTED,TS_HELD,CS,LOW_ASK_EASY,4HCHANGE_EASY,24H,7D,LISTINGS,TSD,ROOKIE_PREMIERE,ROOKIE_MINT,ROOKIE_YEAR,EDITION_STATE,PLAY_ID,SET_ID,TS_LINK,SET_HARD,TIER_HARD,SERIES_HARD,PLAY_HARD,COUNT_HARD,LOW_ASK_HARD,4HCHANGE_HARD,DIFFERENTIAL,EASY_MOMENT,HARD_MOMENT,SCORE,GAME_CLOCK,PTS_PROJ
Alex Len,SAC,203458,30,12,18,0.4,17.424333333333333,2.6333333333333333,5.033333333333333,0.523,0.2,0.6333333333333333,0.316,1.1333333333333333,1.7333333333333334,0.654,1.6,3.2333333333333334,4.833333333333333,1.2,1.2666666666666666,0.3333333333333333,0.8333333333333334,0.4,2.9,1,6.6,-79,2,0,ACTIVE,203458.0,25,nan,0,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,MIL,127,133,,0.0,2022-01-23 02:39,Base Set,Common,3,Dunk,2021-12-12 01:00:00+00:00,Sacramento Kings,60000,22674.0,0.0,7985.0,30617.0,0.0,2.0,3,0.0,0.0,0.0,1705.0,nan,nan,nan,nan,VISIBLE,4eac80af-adca-4378-b1c8-498f525bf101,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+4eac80af-adca-4378-b1c8-498f525bf101,Base Set,Common,2,Dunk,12000,9,0.0,-6,Base Set-Common-3-Dunk,Base Set-Common-2-Dunk,127-133,Final,0.0
Buddy Hield,SAC,1627741,47,18,29,0.383,29.0640780141844,5.085106382978723,12.872340425531915,0.395,3.5106382978723403,9.170212765957446,0.383,1.6595744680851063,1.9148936170212767,0.867,0.6595744680851063,3.1914893617021276,3.851063829787234,2.0,1.553191489361702,0.9361702127659575,0.2978723404255319,0.5531914893617021,2.0425531914893615,1,15.340425531914894,-115,0,0,ACTIVE,1627741.0,24,nan,0,-,1,nan,nan,2,0,0,11,2,0.18181818181818202,0,0.0,3,0,0,0,0.0,81,28.750166666666665,85,4,6,3,0,0,5,3,8,0,7,2,0.28571428571428603,1,4,0,0.0,MIL,127,133,,0.0,2022-01-23 02:37,Base Set,Common,2,Layup,2021-02-04 03:00:00+00:00,Sacramento Kings,40000,36237.0,0.0,2759.0,1019.0,0.0,12.0,11,-8.33,0.0,57.14,534.0,False,False,False,False,VISIBLE,0de2f715-2fb5-41f7-8963-c006e2860f80,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+0de2f715-2fb5-41f7-8963-c006e2860f80,Season Tip-off,Rare,2,Layup,350,275,0.0,-6,Base Set-Common-2-Layup,Season Tip-off-Rare-2-Layup,127-133,Final,6.0
Chimezie Metu,SAC,1629002,31,12,19,0.387,22.48731182795699,3.5161290322580645,8.32258064516129,0.422,1.032258064516129,3.7096774193548385,0.278,1.032258064516129,1.3870967741935485,0.744,0.6451612903225806,5.483870967741935,6.129032258064516,1.1290322580645162,0.9032258064516129,0.9032258064516129,0.6451612903225806,0.5806451612903226,1.4838709677419355,1,9.096774193548388,-34,4,0,ACTIVE,1629002.0,7,nan,0,-,1,nan,nan,0,0,0,4,1,0.25,0,2.0,1,0,0,0,0.0,29,12.666666666666666,29,0,2,0,0,0,2,1,3,0,2,0,0.0,1,2,1,0.5,MIL,127,133,,0.0,2022-01-23 02:39,Base Set,Common,3,3 Pointer,2021-12-30 03:30:00+00:00,Sacramento Kings,60000,18985.0,0.0,5565.0,36395.0,0.0,2.0,3,0.0,0.0,0.0,1133.0,nan,nan,nan,nan,VISIBLE,a4a30012-4150-4eeb-a922-b551b225b69d,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+a4a30012-4150-4eeb-a922-b551b225b69d,Throwdowns,Rare,2,Dunk,1800,74,0.0,-6,Base Set-Common-3-3 Pointer,Throwdowns-Rare-2-Dunk,127-133,Final,2.0
Damian Jones,SAC,1627745,27,9,18,0.333,14.135555555555557,2.1481481481481484,3.7037037037037037,0.58,0.1111111111111111,0.4444444444444444,0.25,1.2222222222222223,1.7037037037037037,0.717,1.5185185185185186,2.6666666666666665,4.185185185185185,0.8148148148148148,1.0,0.14814814814814814,0.4444444444444444,0.37037037037037035,1.962962962962963,1,5.62962962962963,-42,1,0,ACTIVE,1627745.0,30,nan,0,-,1,nan,nan,5,0,0,3,2,0.666666666666666,0,2.0,2,0,3,1,0.333333333333333,59,23.498666666666665,59,0,5,0,4,1,1,3,4,1,0,0,0.0,1,3,2,0.666666666666666,MIL,127,133,,0.0,2022-01-23 02:38,Base Set,Common,3,Dunk,2021-11-25 03:00:00+00:00,Sacramento Kings,60000,28747.0,0.0,15280.0,17330.0,0.0,2.0,3,0.0,0.0,50.0,1881.0,nan,nan,nan,nan,VISIBLE,279baaa2-81f5-4634-b635-630814b9f8fb,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+279baaa2-81f5-4634-b635-630814b9f8fb,Base Set,Common,2,Dunk,12000,11,0.0,-6,Base Set-Common-3-Dunk,Base Set-Common-2-Dunk,127-133,Final,5.0
Davion Mitchell,SAC,1630558,41,16,25,0.39,24.652235772357724,3.731707317073171,9.487804878048781,0.393,1.146341463414634,3.731707317073171,0.307,0.5365853658536586,0.9024390243902439,0.595,0.5609756097560976,1.7317073170731707,2.292682926829268,3.2439024390243905,0.975609756097561,0.7073170731707317,0.2926829268292683,0.4634146341463415,1.7804878048780488,0,9.146341463414634,-78,0,0,ACTIVE,1630558.0,15,nan,0,-,1,nan,nan,2,1,0,8,4,0.5,0,0.0,3,0,0,0,0.0,50,19.9665,45,-5,9,0,6,5,2,0,2,0,3,1,0.333333333333333,2,5,3,0.6,MIL,127,133,,0.0,2022-01-23 02:36,Base Set,Common,3,Jump Shot,2021-10-21 02:00:00+00:00,Sacramento Kings,4000,2201.0,0.0,337.0,1463.0,0.0,2.0,135,0.0,3.85,12.5,110.0,True,True,True,True,VISIBLE,dbe40225-75b5-465c-924e-ce987fd65831,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+dbe40225-75b5-465c-924e-ce987fd65831,Metallic Gold LE,Rare,3,Steal,263,1224,-7.62,-6,Base Set-Common-3-Jump Shot,Metallic Gold LE-Rare-3-Steal,127-133,Final,9.0
De'Aaron Fox,SAC,1628368,43,17,26,0.395,34.144108527131785,7.8604651162790695,17.162790697674417,0.458,0.9069767441860465,3.6511627906976742,0.248,4.395348837209302,5.906976744186046,0.744,0.46511627906976744,3.302325581395349,3.7674418604651163,5.162790697674419,2.7906976744186047,1.2093023255813953,0.3953488372093023,0.7674418604651163,2.8372093023255816,4,21.023255813953487,-157,1,0,ACTIVE,1628368.0,5,nan,0,-,0,DND_INJURY,Left Ankle; Soreness ,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,MIL,127,133,,0.0,2022-01-23 02:39,Base Set,Common,2,Dunk,2021-01-23 03:00:00+00:00,Sacramento Kings,40000,35548.0,0.0,3253.0,1207.0,0.0,12.0,9,-10.0,-10.0,-25.0,1639.0,False,False,False,False,VISIBLE,c94415fe-15d9-4999-bf10-5fefdf4b1ed2,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+c94415fe-15d9-4999-bf10-5fefdf4b1ed2,Throwdowns,Rare,2,Dunk,1800,129,-0.77,-6,Base Set-Common-2-Dunk,Throwdowns-Rare-2-Dunk,127-133,Final,0.0
Harrison Barnes,SAC,203084,42,15,27,0.357,33.44738095238095,4.976190476190476,11.023809523809524,0.451,2.0476190476190474,4.928571428571429,0.415,4.261904761904762,5.119047619047619,0.833,1.0952380952380953,4.904761904761905,6.0,2.357142857142857,1.6666666666666667,0.7142857142857143,0.21428571428571427,0.7142857142857143,1.2619047619047619,3,16.261904761904763,-211,4,0,ACTIVE,203084.0,40,SF,1,-,1,nan,nan,3,0,0,18,11,0.611111111111111,0,5.0,1,0,6,4,0.666666666666666,114,38.68333333333333,99,-15,29,2,16,3,5,1,6,0,6,3,0.5,0,12,8,0.666666666666666,MIL,127,133,,0.0,2022-01-23 02:36,Base Set,Common,3,3 Pointer,2021-10-21 02:00:00+00:00,Sacramento Kings,60000,34503.0,0.0,13561.0,12998.0,0.0,2.0,3,0.0,0.0,0.0,2553.0,nan,nan,nan,nan,VISIBLE,01cf4f53-5d93-4818-9f38-813fac395927,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+01cf4f53-5d93-4818-9f38-813fac395927,Metallic Gold LE,Rare,2,3 Pointer,499,344,0.0,-6,Base Set-Common-3-3 Pointer,Metallic Gold LE-Rare-2-3 Pointer,127-133,Final,29.0
Jahmi'us Ramsey,SAC,1630186,15,2,13,0.133,5.552555555555555,0.9333333333333333,2.2666666666666666,0.412,0.13333333333333333,0.7333333333333333,0.182,0.3333333333333333,0.6666666666666666,0.5,0.06666666666666667,0.26666666666666666,0.3333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.3333333333333333,0,2.3333333333333335,10,0,0,ACTIVE,1630186.0,20,nan,0,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,MIL,127,133,,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-6,nan,nan,127-133,Final,0.0
Marvin Bagley III,SAC,1628963,26,10,16,0.385,21.901217948717946,3.769230769230769,8.192307692307692,0.46,0.5,2.1153846153846154,0.236,1.3461538461538463,1.8076923076923077,0.745,2.3461538461538463,5.0,7.346153846153846,0.6153846153846154,0.6538461538461539,0.3076923076923077,0.34615384615384615,0.8076923076923077,1.6538461538461537,1,9.384615384615385,14,4,0,ACTIVE,1628963.0,35,PF,1,-,1,nan,nan,0,0,0,12,6,0.5,0,0.0,2,0,0,0,0.0,65,23.366666666666667,57,-8,13,4,10,6,3,2,5,0,2,1,0.5,1,10,5,0.5,MIL,127,133,,0.0,2022-01-23 02:37,Base Set,Common,2,Dunk,2021-01-31 01:00:00+00:00,Sacramento Kings,40000,36049.0,0.0,2918.0,1045.0,0.0,12.0,7,16.67,40.0,-12.5,1515.0,False,False,False,False,VISIBLE,bf069937-5413-4648-8eb6-a7bc654eaea0,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+bf069937-5413-4648-8eb6-a7bc654eaea0,Metallic Gold LE,Rare,1,Dunk,299,330,13.01,-6,Base Set-Common-2-Dunk,Metallic Gold LE-Rare-1-Dunk,127-133,Final,13.0
Maurice Harkless,SAC,203090,30,11,19,0.367,18.361333333333334,1.5666666666666667,3.533333333333333,0.443,0.5333333333333333,2.0,0.267,0.3333333333333333,0.5,0.667,0.2,2.1,2.3,0.5333333333333333,0.6,0.4,0.5666666666666667,0.23333333333333334,1.5333333333333334,0,4.0,-49,0,0,ACTIVE,203090.0,8,nan,0,-,0,nan,nan,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,MIL,127,133,,0.0,2022-01-23 02:36,Base Set,Common,2,Dunk,2021-04-09 02:00:00+00:00,Sacramento Kings,12000,10871.0,0.0,726.0,403.0,0.0,12.0,15,0.0,7.14,7.14,352.0,True,False,False,False,VISIBLE,1139d548-29ee-43db-a00e-5b1fa5a8b6d3,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1139d548-29ee-43db-a00e-5b1fa5a8b6d3,Base Set,Common,2,Dunk,12000,15,0.0,-6,Base Set-Common-2-Dunk,Base Set-Common-2-Dunk,127-133,Final,0.0
